"target","proxy","corr"
"angelus","petrus",0.63854803602626
"angelus","ecclesia",0.560388895996368
"angelus","spiritus",0.55603857593893
"angelus","idolum",0.551830815342279
"angelus","caro",0.527816924336269
"angelus","christus",0.520007438445653
"angelus","potestas",0.4467395035493
"angelus","lignum",0.41184970921174
"angelus","ouis",0.406386660580581
"angelus","deus",0.400214955812834
"aureus","fortuna",0.50817120273186
"aureus","diuus",0.490831291299436
"aureus","pallidus",0.488541726635477
"aureus","felix",0.479301286958925
"aureus","uetus",0.464119299014336
"aureus","equus",0.448288995250546
"aureus","tristis",0.44822529724768
"aureus","modero",0.440865886355146
"aureus","compono",0.4362894360112
"aureus","roma",0.430096542823655
"caelestis","rego",-0.510462196041054
"caelestis","sumo",-0.490248423379981
"caelestis","cura",-0.443822207211808
"caelestis","secerno",-0.42320631988766
"caelestis","uinum",-0.41445609546006
"caelestis","caelum",-0.366829012359541
"caelestis","lignum",-0.35504287721164
"caelestis","parens",0.352381288614649
"caelestis","aeternus",-0.351786196726357
"caelestis","defero",-0.345723566040142
"christus","dominus",0.559371673784891
"christus","angelus",0.520007438445653
"christus","spiritus",0.509996257056805
"christus","petrus",0.474120325960688
"christus","ecclesia",0.466652061792533
"christus","sanctus",0.438078038614816
"christus","assumo",0.437797707786658
"christus","salus",0.420527247085058
"christus","lignum",0.409375792439327
"christus","deus",0.407500083757541
"corporeus","sententia",0.514384629667995
"corporeus","uitium",0.506910987050267
"corporeus","homo",0.476026288821158
"corporeus","deus",0.452142731207462
"corporeus","assumo",0.437171789861105
"corporeus","ouis",0.420096815832265
"corporeus","reus",0.419810477057583
"corporeus","aeternus",0.415104160143399
"corporeus","rus",-0.398660074664003
"corporeus","mortalis",0.398585214664362
"daps","caro",0.390567940308578
"daps","multiplex",0.368533538117476
"daps","uinum",0.312586322883011
"daps","palmes",0.311775833988106
"daps","dominus",0.299181091852965
"daps","polus",0.293611349351432
"daps","rus",-0.289247692013413
"daps","mors",0.28851587697889
"daps","surgo",0.256193492022434
"daps","unda",-0.249475645304781
"dignus","imperium",0.438130029388424
"dignus","uinum",-0.423730336161479
"dignus","felix",0.418996952096111
"dignus","duco",0.418767970317799
"dignus","pereo",-0.412449945076939
"dignus","sumo",-0.406921031605024
"dignus","mos",-0.396774874546776
"dignus","uotum",0.389572948987402
"dignus","parens",0.388812776086912
"dignus","unda",0.379550877627801
"dominus","christus",0.559371673784891
"dominus","sanctus",0.53716348548661
"dominus","caro",0.524665288973453
"dominus","spiritus",0.471227611563438
"dominus","mors",0.449078732563004
"dominus","mitto",0.43086795868431
"dominus","populus",0.405927371183451
"dominus","deus",0.398826838944594
"dominus","angelus",0.397837838422715
"dominus","salus",0.383048248330887
"ecclesia","angelus",0.560388895996368
"ecclesia","petrus",0.537784958137433
"ecclesia","idolum",0.490517636253864
"ecclesia","christus",0.466652061792533
"ecclesia","caro",0.460562112363925
"ecclesia","ouis",0.411446139784197
"ecclesia","defero",0.395755763555404
"ecclesia","intellego",0.386257566536683
"ecclesia","mitto",0.382505763324205
"ecclesia","edo",-0.377840605603971
"edo","fides",-0.536463390581596
"edo","cura",-0.485535769498895
"edo","respondeo",0.465512609286077
"edo","mitto",-0.460794164367936
"edo","rego",-0.454289250541852
"edo","ardeo",0.426347407951742
"edo","ars",0.424453867767524
"edo","duco",0.423332267921139
"edo","pereo",-0.415406465517346
"edo","uotum",0.406019704759482
"fortuna","uetus",0.550234204833628
"fortuna","pallidus",0.523490588652958
"fortuna","diuus",0.516418244045533
"fortuna","aureus",0.50817120273186
"fortuna","senatus",0.500994684430974
"fortuna","equus",0.493645479038158
"fortuna","romanus",0.468828009402015
"fortuna","musa",0.462254477299729
"fortuna","unda",0.4554491494923
"fortuna","sidus",0.454439163754452
"gratia","mitto",0.472601602424493
"gratia","actus",0.396592796265215
"gratia","caro",0.386749204133777
"gratia","angelus",0.369384009652229
"gratia","spiritus",0.367094965405897
"gratia","dominus",0.363046868647736
"gratia","uinum",0.361946716679722
"gratia","tempus",-0.349933136331421
"gratia","fides",0.347388863642821
"gratia","uenio",-0.344299981527288
"lignum","salus",0.563788773930684
"lignum","uinum",0.47073348780168
"lignum","spiritus",0.440066995959568
"lignum","angelus",0.41184970921174
"lignum","sententia",0.411713146110492
"lignum","deus",0.411116300712422
"lignum","christus",0.409375792439327
"lignum","caelum",0.406639578230046
"lignum","idolum",0.406172986826592
"lignum","subito",0.402516083826934
"lumen","umbra",0.526919397748339
"lumen","ingenium",0.498410724320825
"lumen","cerno",0.453258580880459
"lumen","felix",0.422649879833721
"lumen","imperium",0.412085434461744
"lumen","polus",-0.409100203943
"lumen","cresco",0.387030583205913
"lumen","clarus",0.386829171764999
"lumen","caelum",-0.373019676206001
"lumen","pereo",-0.368699153414339
"mitto","fides",0.49169172479949
"mitto","labor",0.475799952888052
"mitto","gratia",0.472601602424493
"mitto","edo",-0.460794164367936
"mitto","tempus",-0.459916753660434
"mitto","uis",0.432564759917934
"mitto","dominus",0.43086795868431
"mitto","uinum",0.429969136116285
"mitto","secerno",0.427427343201553
"mitto","uenio",-0.423299047982874
"musa","phoebus",0.578611839831004
"musa","tristis",0.50142129551622
"musa","rus",0.493121458772705
"musa","unda",0.473465161919987
"musa","coma",0.473400443107734
"musa","sidus",0.468481222691816
"musa","bacchus",0.464575261944594
"musa","fortuna",0.462254477299729
"musa","angustus",0.450974027361914
"musa","pallidus",0.432143452721065
"optimus","romanus",0.364816792921191
"optimus","dexter",0.357961720131011
"optimus","fortuna",0.327824010688142
"optimus","angustus",0.323711051541434
"optimus","uetus",0.321500259125625
"optimus","diuus",0.312447751620741
"optimus","pallidus",0.265049747244109
"optimus","coma",0.263411501399291
"optimus","aureus",0.258940465697627
"optimus","equus",0.25747691889782
"permisceo","pallidus",0.568188354910624
"permisceo","modero",0.485783647922766
"permisceo","rus",0.453134577724413
"permisceo","maturus",0.450981002010998
"permisceo","unda",0.43483255441794
"permisceo","tristis",0.424400900569176
"permisceo","felix",0.423007954318113
"permisceo","equus",0.417512565995513
"permisceo","cresco",0.410029704524769
"permisceo","angustus",0.407087229625168
"petrus","angelus",0.63854803602626
"petrus","ecclesia",0.537784958137433
"petrus","spiritus",0.494743889979361
"petrus","christus",0.474120325960688
"petrus","idolum",0.465442981475973
"petrus","deus",0.431029693493703
"petrus","fides",0.423716560720824
"petrus","sumo",0.412027990711341
"petrus","potestas",0.396904683452657
"petrus","salus",0.392664739685994
"phoebus","bacchus",0.602110658517843
"phoebus","musa",0.578611839831004
"phoebus","iuppiter",0.513730393675852
"phoebus","unda",0.474018180762624
"phoebus","rus",0.46477246724894
"phoebus","pallidus",0.463074220784898
"phoebus","dexter",0.456920874421108
"phoebus","coma",0.448011000481485
"phoebus","tristis",0.446879819647278
"phoebus","genetrix",0.444512112588014
"respondeo","fides",-0.507599417402829
"respondeo","edo",0.465512609286077
"respondeo","cresco",0.439654155600414
"respondeo","uotum",0.431094557510577
"respondeo","uetus",0.4178128548523
"respondeo","cura",-0.397713141991868
"respondeo","animus",-0.38072033232588
"respondeo","ardeo",0.377853428714276
"respondeo","mitto",-0.375990040046925
"respondeo","color",0.369587223059356
"salus","lignum",0.563788773930684
"salus","spiritus",0.45411579548794
"salus","labor",0.440543153683976
"salus","pius",0.427348339082673
"salus","christus",0.420527247085058
"salus","sanctus",0.404206605519155
"salus","sacer",0.400821578145396
"salus","uinum",0.396014315701481
"salus","petrus",0.392664739685994
"salus","dominus",0.383048248330887
"sanctus","dominus",0.53716348548661
"sanctus","caro",0.518658965085844
"sanctus","spiritus",0.479786575831929
"sanctus","uerus",0.447376952182744
"sanctus","christus",0.438078038614816
"sanctus","mors",0.437992150399521
"sanctus","salus",0.404206605519155
"sanctus","lignum",0.396226421529912
"sanctus","angelus",0.39149075204323
"sanctus","turbo",0.391409790107146
"sententia","homo",0.664638232845151
"sententia","usus",0.628196571867171
"sententia","lego",0.623402412108485
"sententia","liber",0.553601925390318
"sententia","deus",0.549968961025321
"sententia","uitium",0.54163935152987
"sententia","corrumpo",0.534570834125534
"sententia","corporeus",0.514384629667995
"sententia","mortalis",0.51436111120515
"sententia","supplico",0.513540533034845
"spiritus","caro",0.557363052149541
"spiritus","angelus",0.55603857593893
"spiritus","christus",0.509996257056805
"spiritus","petrus",0.494743889979361
"spiritus","sanctus",0.479786575831929
"spiritus","dominus",0.471227611563438
"spiritus","salus",0.45411579548794
"spiritus","lignum",0.440066995959568
"spiritus","caelum",0.420046164268122
"spiritus","fides",0.411739249261686
"uenio","tempus",0.507280510831601
"uenio","nomen",0.465374810171112
"uenio","parens",0.455265976010375
"uenio","totus",0.454208206561787
"uenio","nascor",0.452434902962138
"uenio","pars",-0.43425292357769
"uenio","natura",0.433325344239781
"uenio","fama",0.432544006451471
"uenio","uis",-0.424775283832695
"uenio","mitto",-0.423299047982874
