analysis,score,model,waic,dic,eff_parameters,n,y_mean,y_sd,rank,delta_waic,waic_weight,model_pretty,date_function,has_label,has_creator,score_label
labeled_main,score_nb_logit,label_date_rw2_creator,3041.5506976710035,3040.0182493306306,6.760522340070521,362,-11.081794058111821,26.560305027544583,1,0,0.8009771247102182,Label + RW2 date + creator,rw2,TRUE,TRUE,NB
labeled_main,score_nb_logit,label_date_linear_creator,3047.0675794904623,3045.701986634371,5.415936890945244,362,-11.081794058111821,26.560305027544583,2,5.516881819458831,0.050774358769137495,Label + linear date + creator,linear,TRUE,TRUE,NB
labeled_main,score_nb_logit,label_date_rw1_creator,3047.2192001617195,3045.575274858939,4.625212117338513,362,-11.081794058111821,26.560305027544583,3,5.668502490716037,0.04706742475191129,Label + RW1 date + creator,rw1,TRUE,TRUE,NB
labeled_main,score_nb_logit,label_date_rw1,3047.5600576855054,3047.32172585262,2.284865014652486,362,-11.081794058111821,26.560305027544583,4,6.009360014501908,0.03969210815860085,Label + RW1 date,rw1,TRUE,FALSE,NB
labeled_main,score_nb_logit,label_date_linear,3048.469565302505,3047.091100210795,5.229377164804109,362,-11.081794058111821,26.560305027544583,5,6.918867631501598,0.025188777864528656,Label + linear date,linear,TRUE,FALSE,NB
labeled_main,score_nb_logit,label_date_rw2,3048.584726175525,3047.471293649199,2.8974084132831104,362,-11.081794058111821,26.560305027544583,6,7.034028504521302,0.023779363768025773,Label + RW2 date,rw2,TRUE,FALSE,NB
labeled_main,score_nb_logit,label_only,3049.8675732194642,3048.9819331436643,3.7781471663021597,362,-11.081794058111821,26.560305027544583,7,8.316875548460757,0.012520841977577605,Label only,none,TRUE,FALSE,NB
labeled_main,score_nb_logit,date_rw1,3281.047064689567,3281.2081862287187,5.898705332792724,362,-11.081794058111821,26.560305027544583,8,239.49636701856343,7.900322083197637e-53,Date RW1,rw1,FALSE,FALSE,NB
labeled_main,score_nb_logit,date_linear,3306.7982294762705,3307.289323738394,2.466864675488233,362,-11.081794058111821,26.560305027544583,9,265.24753180526704,2.022322493642147e-58,Date linear,linear,FALSE,FALSE,NB
labeled_main,score_nb_logit,date_rw2,3403.0843334931133,3403.031122110917,1.059738516632507,362,-11.081794058111821,26.560305027544583,10,361.5336358221098,2.4979778504210043e-79,Date RW2,rw2,FALSE,FALSE,NB
labeled_main,score_ridge_logit,label_date_rw2_creator,1031.8235041252003,1018.8438435663485,70.51818986534008,362,-2.27068828387275,1.9064501759527706,1,0,0.4420527778275619,Label + RW2 date + creator,rw2,TRUE,TRUE,Elastic net
labeled_main,score_ridge_logit,label_date_rw1_creator,1031.9552561816295,1019.2623942285205,70.37028890466745,362,-2.27068828387275,1.9064501759527706,2,0.1317520564291499,0.41387055406149076,Label + RW1 date + creator,rw1,TRUE,TRUE,Elastic net
labeled_main,score_ridge_logit,label_date_linear_creator,1034.0656739919823,1022.3613126770875,68.60053209074049,362,-2.27068828387275,1.9064501759527706,3,2.2421698667819783,0.14407649134032388,Label + linear date + creator,linear,TRUE,TRUE,Elastic net
labeled_main,score_ridge_logit,label_date_rw1,1062.208179353177,1059.3467374012516,10.816934677767208,362,-2.27068828387275,1.9064501759527706,4,30.384675227976686,1.1156442489377188e-7,Label + RW1 date,rw1,TRUE,FALSE,Elastic net
labeled_main,score_ridge_logit,label_date_rw2,1064.3222133296138,1060.974925571545,8.52248836535924,362,-2.27068828387275,1.9064501759527706,5,32.498709204413444,3.876761517067327e-8,Label + RW2 date,rw2,TRUE,FALSE,Elastic net
labeled_main,score_ridge_logit,label_date_linear,1065.4374112562557,1062.082063921411,7.160496380309947,362,-2.27068828387275,1.9064501759527706,6,33.613907131055385,2.2197646599681788e-8,Label + linear date,linear,TRUE,FALSE,Elastic net
labeled_main,score_ridge_logit,label_only,1068.7478154424057,1065.5180694401922,6.073678260112715,362,-2.27068828387275,1.9064501759527706,7,36.924311317205365,4.240936769994742e-9,Label only,none,TRUE,FALSE,Elastic net
labeled_main,score_ridge_logit,date_rw1,1331.3842393697382,1327.9067662658238,28.85370247397492,362,-2.27068828387275,1.9064501759527706,8,299.5607352445379,3.9508174945882385e-66,Date RW1,rw1,FALSE,FALSE,Elastic net
labeled_main,score_ridge_logit,date_rw2,1384.713721532159,1383.482013506206,5.868956154638852,362,-2.27068828387275,1.9064501759527706,9,352.89021740695875,1.0383339524996298e-77,Date RW2,rw2,FALSE,FALSE,Elastic net
labeled_main,score_ridge_logit,date_linear,1388.0891300041108,1386.8588556715993,4.152803247043441,362,-2.27068828387275,1.9064501759527706,10,356.26562587891044,1.9203324400233266e-78,Date linear,linear,FALSE,FALSE,Elastic net
labeled_main,score_svm_logit,label_date_rw1_creator,1526.3364241147985,1511.915753419032,75.31949451178522,362,-2.6044795738314415,4.092374143919372,1,0,0.5589075138685605,Label + RW1 date + creator,rw1,TRUE,TRUE,SVM
labeled_main,score_svm_logit,label_date_rw2_creator,1528.0588481604657,1512.9183846953295,73.8816276750666,362,-2.6044795738314415,4.092374143919372,2,1.7224240456671396,0.23622198737407613,Label + RW2 date + creator,rw2,TRUE,TRUE,SVM
labeled_main,score_svm_logit,label_date_linear_creator,1528.3436361737804,1514.747770649092,71.21012460355774,362,-2.6044795738314415,4.092374143919372,3,2.0072120589818496,0.20487048125732163,Label + linear date + creator,linear,TRUE,TRUE,SVM
labeled_main,score_svm_logit,label_date_rw1,1562.0586383264858,1558.8819081116583,12.298379088326586,362,-2.6044795738314415,4.092374143919372,4,35.72221421168729,9.780469238928183e-9,Label + RW1 date,rw1,TRUE,FALSE,SVM
labeled_main,score_svm_logit,label_date_linear,1563.2652522819214,1560.0201838517642,7.052830295527075,362,-2.6044795738314415,4.092374143919372,5,36.9288281671229,5.349913992542714e-9,Label + linear date,linear,TRUE,FALSE,SVM
labeled_main,score_svm_logit,label_date_rw2,1564.893922125201,1561.8620153031782,7.503711348086843,362,-2.6044795738314415,4.092374143919372,6,38.55749801040247,2.369657815265952e-9,Label + RW2 date,rw2,TRUE,FALSE,SVM
labeled_main,score_svm_logit,label_only,1595.671104405617,1593.1064055706893,5.437403471362109,362,-2.6044795738314415,4.092374143919372,7,69.33468029081837,4.914795147707637e-16,Label only,none,TRUE,FALSE,SVM
labeled_main,score_svm_logit,date_rw1,1836.973504762592,1834.2327028904901,23.344143232355172,362,-2.6044795738314415,4.092374143919372,8,310.6370806477935,1.9649655845262766e-68,Date RW1,rw1,FALSE,FALSE,SVM
labeled_main,score_svm_logit,date_linear,1890.443834957138,1889.449731435212,3.927036369768344,362,-2.6044795738314415,4.092374143919372,9,364.1074108423395,4.8130488967976645e-80,Date linear,linear,FALSE,FALSE,SVM
labeled_main,score_svm_logit,date_rw2,1896.1800634264282,1895.5271718403574,3.4217443809583825,362,-2.6044795738314415,4.092374143919372,10,369.84363931162966,2.734098069339855e-81,Date RW2,rw2,FALSE,FALSE,SVM
labeled_main,score_xgb_logit,label_date_rw1_creator,1306.538320051678,1290.4198323229875,97.65080533016575,362,-2.5021735192166026,3.1258765601024745,1,0,0.5534634454788022,Label + RW1 date + creator,rw1,TRUE,TRUE,XGBoost
labeled_main,score_xgb_logit,label_date_rw2_creator,1307.4585498375955,1290.6632749244875,97.66740365140073,362,-2.5021735192166026,3.1258765601024745,2,0.9202297859173996,0.3493522810935968,Label + RW2 date + creator,rw2,TRUE,TRUE,XGBoost
labeled_main,score_xgb_logit,label_date_linear_creator,1310.0174936618955,1293.9301346314808,96.32257614209769,362,-2.5021735192166026,3.1258765601024745,3,3.479173610217458,0.09718427342760107,Label + linear date + creator,linear,TRUE,TRUE,XGBoost
labeled_main,score_xgb_logit,label_date_rw1,1390.2225424565963,1386.4724842378039,11.536169818815626,362,-2.5021735192166026,3.1258765601024745,4,83.68422240491827,3.7264125683115313e-19,Label + RW1 date,rw1,TRUE,FALSE,XGBoost
labeled_main,score_xgb_logit,label_date_linear,1391.2860145917973,1387.425118232132,7.617008254828558,362,-2.5021735192166026,3.1258765601024745,5,84.74769454011926,2.1895803956643804e-19,Label + linear date,linear,TRUE,FALSE,XGBoost
labeled_main,score_xgb_logit,label_date_rw2,1391.478409580263,1387.7084678215158,8.73793789238171,362,-2.5021735192166026,3.1258765601024745,6,84.94008952858485,1.9887621918998993e-19,Label + RW2 date,rw2,TRUE,FALSE,XGBoost
labeled_main,score_xgb_logit,label_only,1407.5526952281525,1404.3403233517818,6.036082212100205,362,-2.5021735192166026,3.1258765601024745,7,101.01437517647446,6.428299109774904e-23,Label only,none,TRUE,FALSE,XGBoost
labeled_main,score_xgb_logit,date_rw1,1662.246693100861,1659.8578369741138,24.40960223551888,362,-2.5021735192166026,3.1258765601024745,8,355.7083730491829,3.1768532328111877e-78,Date RW1,rw1,FALSE,FALSE,XGBoost
labeled_main,score_xgb_logit,date_rw2,1706.763878045246,1706.6618900259307,5.27888291106076,362,-2.5021735192166026,3.1258765601024745,9,400.2255579935679,6.842475731403617e-88,Date RW2,rw2,FALSE,FALSE,XGBoost
labeled_main,score_xgb_logit,date_linear,1717.4652597078398,1717.1415064455712,3.2813490834980272,362,-2.5021735192166026,3.1258765601024745,10,410.9269396561617,3.2466671240804126e-90,Date linear,linear,FALSE,FALSE,XGBoost
labeled_main,score_lgb_logit,label_date_rw1_creator,1281.201478629078,1262.2213613520548,97.30842048456502,362,-2.541943353055846,2.931619252825528,1,0,0.6795090038860201,Label + RW1 date + creator,rw1,TRUE,TRUE,LightGBM
labeled_main,score_lgb_logit,label_date_rw2_creator,1283.6787941353823,1263.2052071381895,96.37759963385685,362,-2.541943353055846,2.931619252825528,2,2.477315506304194,0.1969032972083427,Label + RW2 date + creator,rw2,TRUE,TRUE,LightGBM
labeled_main,score_lgb_logit,label_date_linear_creator,1284.6103175642818,1265.529020216355,95.33347216629254,362,-2.541943353055846,2.931619252825528,3,3.4088389352036756,0.12358769890563613,Label + linear date + creator,linear,TRUE,TRUE,LightGBM
labeled_main,score_lgb_logit,label_date_linear,1351.0866898759796,1347.8503771251808,7.036231452746343,362,-2.541943353055846,2.931619252825528,4,69.88521124690146,4.537476723303411e-16,Label + linear date,linear,TRUE,FALSE,LightGBM
labeled_main,score_lgb_logit,label_date_rw2,1351.1992886411324,1348.1369055399016,7.527080015655327,362,-2.541943353055846,2.931619252825528,5,69.99781001205429,4.2890775527528806e-16,Label + RW2 date,rw2,TRUE,FALSE,LightGBM
labeled_main,score_lgb_logit,label_date_rw1,1353.332460627798,1350.3528657705629,9.962136331166484,362,-2.541943353055846,2.931619252825528,6,72.13098199871979,1.4762213688351278e-16,Label + RW1 date,rw1,TRUE,FALSE,LightGBM
labeled_main,score_lgb_logit,label_only,1369.141749230315,1366.5217888341226,5.481849270903902,362,-2.541943353055846,2.931619252825528,7,87.94027060123699,5.447636062267562e-20,Label only,none,TRUE,FALSE,LightGBM
labeled_main,score_lgb_logit,date_rw1,1606.299297341688,1603.520280658423,27.58693754649768,362,-2.541943353055846,2.931619252825528,8,325.09781871261,1.730218068194791e-71,Date RW1,rw1,FALSE,FALSE,LightGBM
labeled_main,score_lgb_logit,date_rw2,1659.9891868517313,1659.9022540271797,5.05157296926264,362,-2.541943353055846,2.931619252825528,9,378.78770822265324,3.797427305019277e-83,Date RW2,rw2,FALSE,FALSE,LightGBM
labeled_main,score_lgb_logit,date_linear,1668.776114338638,1668.5954925659257,3.141858070599589,362,-2.541943353055846,2.931619252825528,10,387.57463570955997,4.692803921991276e-85,Date linear,linear,FALSE,FALSE,LightGBM
labeled_main,score_bert_logit,label_date_linear_creator,1849.8575591892477,1848.2430952878428,8.806162935997234,362,-2.2199813712242724,4.390385762811726,1,0,0.45378628083738937,Label + linear date + creator,linear,TRUE,TRUE,Latin BERT
labeled_main,score_bert_logit,label_date_linear,1850.160198667552,1848.856356092978,5.199975543005517,362,-2.2199813712242724,4.390385762811726,2,0.30263947830439974,0.3900623511149267,Label + linear date,linear,TRUE,FALSE,Latin BERT
labeled_main,score_bert_logit,label_date_rw2_creator,1852.7456079361966,1851.2249347274915,9.991715988795026,362,-2.2199813712242724,4.390385762811726,3,2.8880487469489253,0.10708275713394212,Label + RW2 date + creator,rw2,TRUE,TRUE,Latin BERT
labeled_main,score_bert_logit,label_date_rw1,1855.4831571689635,1854.2693187629777,8.225937297060545,362,-2.2199813712242724,4.390385762811726,4,5.625597979715849,0.027243837542168393,Label + RW1 date,rw1,TRUE,FALSE,Latin BERT
labeled_main,score_bert_logit,label_date_rw1_creator,1855.9278901175376,1854.367019350889,12.649781067377287,362,-2.2199813712242724,4.390385762811726,5,6.070330928289877,0.02181201306413131,Label + RW1 date + creator,rw1,TRUE,TRUE,Latin BERT
labeled_main,score_bert_logit,label_date_rw2,1870.8231898579465,1881.7771412005707,2.65252641717464,362,-2.2199813712242724,4.390385762811726,6,20.96563066869885,1.2712252406247978e-5,Label + RW2 date,rw2,TRUE,FALSE,Latin BERT
labeled_main,score_bert_logit,label_only,1881.9791391182728,1880.8334419023129,4.07100658596452,362,-2.2199813712242724,4.390385762811726,7,32.121579929025074,4.805503581672391e-8,Label only,none,TRUE,FALSE,Latin BERT
labeled_main,score_bert_logit,date_rw1,1958.664112227356,1957.6359754026782,12.15908407315488,362,-2.2199813712242724,4.390385762811726,8,108.8065530381084,1.0710471062999576e-24,Date RW1,rw1,FALSE,FALSE,Latin BERT
labeled_main,score_bert_logit,date_rw2,1969.1315527510112,1968.491116403106,5.1338255850251535,362,-2.2199813712242724,4.390385762811726,9,119.27399356176352,5.71258588754603e-27,Date RW2,rw2,FALSE,FALSE,Latin BERT
labeled_main,score_bert_logit,date_linear,1969.4987445902282,1968.6608853047385,3.773514483169108,362,-2.2199813712242724,4.390385762811726,10,119.64118540098048,4.754425514306476e-27,Date linear,linear,FALSE,FALSE,Latin BERT
