analysis,score,model,waic,dic,eff_parameters,n,y_mean,y_sd,rank,delta_waic,waic_weight,model_pretty,has_score,has_date,has_source,has_creator,score_label
negative_control_text_length,score_nb_logit,date_rw2_score_creator,1793.8983756487253,1765.0089229228104,176.99220376656788,780,1.5799327658127228e-16,1.0000000000000002,1,0,0.6574065024587943,Date RW2 + creator + score,TRUE,TRUE,FALSE,TRUE,NB
negative_control_text_length,score_nb_logit,date_rw2_source_score_creator,1795.2018915414988,1766.2447131961528,177.56738291033736,780,1.5799327658127228e-16,1.0000000000000002,2,1.3035158927734756,0.34259349754110796,Date RW2 + source + creator + score,TRUE,TRUE,TRUE,TRUE,NB
negative_control_text_length,score_nb_logit,date_rw2_creator,1853.8935357820226,1818.913596848441,183.94817882802226,780,1.5799327658127228e-16,1.0000000000000002,3,59.995160133297304,6.166667068896233e-14,Date RW2 + creator,FALSE,TRUE,FALSE,TRUE,NB
negative_control_text_length,score_nb_logit,date_rw2_source_creator,1854.960709387429,1819.7965254977717,184.23371087144446,780,1.5799327658127228e-16,1.0000000000000002,4,61.06233373870373,3.6167350751929545e-14,Date RW2 + source + creator,FALSE,TRUE,TRUE,TRUE,NB
negative_control_text_length,score_nb_logit,date_rw2_score,2127.406428034591,2127.3955726223694,15.201105063527274,780,1.5799327658127228e-16,1.0000000000000002,5,333.50805238586577,2.497356741181407e-73,Date RW2 + score,TRUE,TRUE,FALSE,FALSE,NB
negative_control_text_length,score_nb_logit,date_rw2_source_score,2128.358021288337,2128.3480646166004,16.052976846052704,780,1.5799327658127228e-16,1.0000000000000002,6,334.45964563961184,1.5518321142999444e-73,Date RW2 + source + score,TRUE,TRUE,TRUE,FALSE,NB
negative_control_text_length,score_nb_logit,date_linear_score,2151.9514310331115,2152.5113457156367,3.4171235796098314,780,1.5799327658127228e-16,1.0000000000000002,7,358.0530553843862,1.1684251713292027e-78,Date linear + score,TRUE,TRUE,FALSE,FALSE,NB
negative_control_text_length,score_nb_logit,score_only,2188.6361033024496,2189.122044146292,2.497675177879609,780,1.5799327658127228e-16,1.0000000000000002,8,394.7377276537243,1.2636463169122296e-86,Score only,TRUE,FALSE,FALSE,FALSE,NB
negative_control_text_length,score_nb_logit,date_rw2_source,2200.968346962128,2200.8441974192424,7.7645506556135935,780,1.5799327658127228e-16,1.0000000000000002,9,407.0699713134029,2.652850953308035e-89,Date RW2 + source,FALSE,TRUE,TRUE,FALSE,NB
negative_control_text_length,score_nb_logit,date_rw2,2203.647783808901,2203.8992420841732,6.797851209519493,780,1.5799327658127228e-16,1.0000000000000002,10,409.74940816017556,6.948331527366375e-90,Date RW2,FALSE,TRUE,FALSE,FALSE,NB
negative_control_text_length,score_nb_logit,date_linear,2211.791103653615,2212.2208567084376,2.554167819183331,780,1.5799327658127228e-16,1.0000000000000002,11,417.89272800488993,1.1846255503526954e-91,Date linear,FALSE,TRUE,FALSE,FALSE,NB
negative_control_text_length,score_nb_logit,source_only,2213.1788823548254,2213.5272413652815,2.6359654282560894,780,1.5799327658127228e-16,1.0000000000000002,12,419.28050670610014,5.918733414646861e-92,Source only,FALSE,FALSE,TRUE,FALSE,NB
negative_control_text_length,score_nb_logit,intercept_only,2216.1746821710713,2216.5313278332314,1.6323651007105768,780,1.5799327658127228e-16,1.0000000000000002,13,422.276306522346,1.3234243310094052e-92,Intercept only,FALSE,FALSE,FALSE,FALSE,NB
negative_control_text_length,score_ridge_logit,date_rw2_score_creator,1661.360976454634,1631.5075440415246,188.6512898449863,780,1.5799327658127228e-16,1.0000000000000002,1,0,0.737679784489462,Date RW2 + creator + score,TRUE,TRUE,FALSE,TRUE,Elastic net
negative_control_text_length,score_ridge_logit,date_rw2_source_score_creator,1663.4288642146191,1633.4552179179111,188.9720237591885,780,1.5799327658127228e-16,1.0000000000000002,2,2.0678877599850694,0.2623202155105379,Date RW2 + source + creator + score,TRUE,TRUE,TRUE,TRUE,Elastic net
negative_control_text_length,score_ridge_logit,date_rw2_creator,1853.8935357820226,1818.913596848441,183.94817882802226,780,1.5799327658127228e-16,1.0000000000000002,3,192.53255932738853,1.1480315695852507e-42,Date RW2 + creator,FALSE,TRUE,FALSE,TRUE,Elastic net
negative_control_text_length,score_ridge_logit,date_rw2_source_creator,1854.960709387429,1819.7965254977717,184.23371087144446,780,1.5799327658127228e-16,1.0000000000000002,4,193.59973293279495,6.73317693132894e-43,Date RW2 + source + creator,FALSE,TRUE,TRUE,TRUE,Elastic net
negative_control_text_length,score_ridge_logit,date_rw2_source_score,2064.505547571725,2064.926969780332,10.263824363852827,780,1.5799327658127228e-16,1.0000000000000002,5,403.1445711170909,2.1190273368586824e-88,Date RW2 + source + score,TRUE,TRUE,TRUE,FALSE,Elastic net
negative_control_text_length,score_ridge_logit,date_rw2_score,2066.0427988580514,2066.497760376292,9.471640265397657,780,1.5799327658127228e-16,1.0000000000000002,6,404.6818224034173,9.824867089364248e-89,Date RW2 + score,TRUE,TRUE,FALSE,FALSE,Elastic net
negative_control_text_length,score_ridge_logit,date_linear_score,2092.2369896575274,2092.831716063787,3.3779447931940685,780,1.5799327658127228e-16,1.0000000000000002,7,430.8760132028933,2.0152569282688895e-94,Date linear + score,TRUE,TRUE,FALSE,FALSE,Elastic net
negative_control_text_length,score_ridge_logit,score_only,2100.3537247532404,2101.033032503321,2.3032897023941743,780,1.5799327658127228e-16,1.0000000000000002,8,438.99274829860633,3.481799762489269e-96,Score only,TRUE,FALSE,FALSE,FALSE,Elastic net
negative_control_text_length,score_ridge_logit,date_rw2_source,2200.968346962128,2200.8441974192424,7.7645506556135935,780,1.5799327658127228e-16,1.0000000000000002,9,539.6073705074941,4.938740181326302e-118,Date RW2 + source,FALSE,TRUE,TRUE,FALSE,Elastic net
negative_control_text_length,score_ridge_logit,date_rw2,2203.647783808901,2203.8992420841732,6.797851209519493,780,1.5799327658127228e-16,1.0000000000000002,10,542.2868073542668,1.2935519074145317e-118,Date RW2,FALSE,TRUE,FALSE,FALSE,Elastic net
negative_control_text_length,score_ridge_logit,date_linear,2211.791103653615,2212.2208567084376,2.554167819183331,780,1.5799327658127228e-16,1.0000000000000002,11,550.4301271989812,2.2053850398406858e-120,Date linear,FALSE,TRUE,FALSE,FALSE,Elastic net
negative_control_text_length,score_ridge_logit,source_only,2213.1788823548254,2213.5272413652815,2.6359654282560894,780,1.5799327658127228e-16,1.0000000000000002,12,551.8179059001914,1.1018744381784696e-120,Source only,FALSE,FALSE,TRUE,FALSE,Elastic net
negative_control_text_length,score_ridge_logit,intercept_only,2216.1746821710713,2216.5313278332314,1.6323651007105768,780,1.5799327658127228e-16,1.0000000000000002,13,554.8137057164372,2.463782939765519e-121,Intercept only,FALSE,FALSE,FALSE,FALSE,Elastic net
negative_control_text_length,score_svm_logit,date_rw2_source_score_creator,1707.6003770825355,1675.6791421549503,190.6901017922275,780,1.5799327658127228e-16,1.0000000000000002,1,0,0.5342061270938032,Date RW2 + source + creator + score,TRUE,TRUE,TRUE,TRUE,SVM
negative_control_text_length,score_svm_logit,date_rw2_score_creator,1707.8744542161844,1675.972425510264,190.3109726276559,780,1.5799327658127228e-16,1.0000000000000002,2,0.27407713364891606,0.46579387290619667,Date RW2 + creator + score,TRUE,TRUE,FALSE,TRUE,SVM
negative_control_text_length,score_svm_logit,date_rw2_creator,1853.8935357820226,1818.913596848441,183.94817882802226,780,1.5799327658127228e-16,1.0000000000000002,3,146.2931586994871,9.131730442707962e-33,Date RW2 + creator,FALSE,TRUE,FALSE,TRUE,SVM
negative_control_text_length,score_svm_logit,date_rw2_source_creator,1854.960709387429,1819.7965254977717,184.23371087144446,780,1.5799327658127228e-16,1.0000000000000002,4,147.36033230489352,5.355737454342684e-33,Date RW2 + source + creator,FALSE,TRUE,TRUE,TRUE,SVM
negative_control_text_length,score_svm_logit,date_rw2_source_score,2110.078724305787,2110.818141596925,9.749173300883673,780,1.5799327658127228e-16,1.0000000000000002,5,402.4783472232516,2.1411457075726954e-88,Date RW2 + source + score,TRUE,TRUE,TRUE,FALSE,SVM
negative_control_text_length,score_svm_logit,date_rw2_score,2112.4985635804273,2113.1882057028747,9.677988007631388,780,1.5799327658127228e-16,1.0000000000000002,6,404.89818649789186,6.385351371941512e-89,Date RW2 + score,TRUE,TRUE,FALSE,FALSE,SVM
negative_control_text_length,score_svm_logit,date_linear_score,2138.8248541512085,2139.6617586952298,3.141137285983898,780,1.5799327658127228e-16,1.0000000000000002,7,431.22447706867297,1.2260366099859922e-94,Date linear + score,TRUE,TRUE,FALSE,FALSE,SVM
negative_control_text_length,score_svm_logit,score_only,2145.450187086624,2146.3325089927134,2.1043695298131677,780,1.5799327658127228e-16,1.0000000000000002,8,437.84981000408834,4.46509466948019e-96,Score only,TRUE,FALSE,FALSE,FALSE,SVM
negative_control_text_length,score_svm_logit,date_rw2_source,2200.968346962128,2200.8441974192424,7.7645506556135935,780,1.5799327658127228e-16,1.0000000000000002,9,493.3679698795927,3.9283975508387315e-108,Date RW2 + source,FALSE,TRUE,TRUE,FALSE,SVM
negative_control_text_length,score_svm_logit,date_rw2,2203.647783808901,2203.8992420841732,6.797851209519493,780,1.5799327658127228e-16,1.0000000000000002,10,496.04740672636535,1.0289235631758525e-108,Date RW2,FALSE,TRUE,FALSE,FALSE,SVM
negative_control_text_length,score_svm_logit,date_linear,2211.791103653615,2212.2208567084376,2.554167819183331,780,1.5799327658127228e-16,1.0000000000000002,11,504.1907265710797,1.7542184587730032e-110,Date linear,FALSE,TRUE,FALSE,FALSE,SVM
negative_control_text_length,score_svm_logit,source_only,2213.1788823548254,2213.5272413652815,2.6359654282560894,780,1.5799327658127228e-16,1.0000000000000002,12,505.57850527228993,8.764585066934326e-111,Source only,FALSE,FALSE,TRUE,FALSE,SVM
negative_control_text_length,score_svm_logit,intercept_only,2216.1746821710713,2216.5313278332314,1.6323651007105768,780,1.5799327658127228e-16,1.0000000000000002,13,508.57430508853577,1.9597546157558518e-111,Intercept only,FALSE,FALSE,FALSE,FALSE,SVM
negative_control_text_length,score_xgb_logit,date_rw2_source_score_creator,1811.8655813536816,1778.2194597276543,185.4239581865032,780,1.5799327658127228e-16,1.0000000000000002,1,0,0.566867150905759,Date RW2 + source + creator + score,TRUE,TRUE,TRUE,TRUE,XGBoost
negative_control_text_length,score_xgb_logit,date_rw2_score_creator,1812.4037423222555,1778.8036564316096,185.236867077866,780,1.5799327658127228e-16,1.0000000000000002,2,0.5381609685739477,0.433132848421781,Date RW2 + creator + score,TRUE,TRUE,FALSE,TRUE,XGBoost
negative_control_text_length,score_xgb_logit,date_rw2_creator,1853.8935357820226,1818.913596848441,183.94817882802226,780,1.5799327658127228e-16,1.0000000000000002,3,42.02795442834099,4.238644019228845e-10,Date RW2 + creator,FALSE,TRUE,FALSE,TRUE,XGBoost
negative_control_text_length,score_xgb_logit,date_rw2_source_creator,1854.960709387429,1819.7965254977717,184.23371087144446,780,1.5799327658127228e-16,1.0000000000000002,4,43.095128033747415,2.485954296596349e-10,Date RW2 + source + creator,FALSE,TRUE,TRUE,TRUE,XGBoost
negative_control_text_length,score_xgb_logit,date_rw2_source_score,2168.04984902394,2168.5997344663733,9.079254548216436,780,1.5799327658127228e-16,1.0000000000000002,5,356.1842676702586,2.5647810489482042e-78,Date RW2 + source + score,TRUE,TRUE,TRUE,FALSE,XGBoost
negative_control_text_length,score_xgb_logit,date_rw2_score,2172.896706041989,2173.472413606564,8.285591147222627,780,1.5799327658127228e-16,1.0000000000000002,6,361.0311246883075,2.2728389705746935e-79,Date RW2 + score,TRUE,TRUE,FALSE,FALSE,XGBoost
negative_control_text_length,score_xgb_logit,score_only,2188.640278536794,2189.464021374549,2.1628744037920535,780,1.5799327658127228e-16,1.0000000000000002,7,376.7746971831125,8.667529676805144e-83,Score only,TRUE,FALSE,FALSE,FALSE,XGBoost
negative_control_text_length,score_xgb_logit,date_linear_score,2190.350967755445,2191.182459397905,3.147447705304948,780,1.5799327658127228e-16,1.0000000000000002,8,378.4853864017632,3.684884615325244e-83,Date linear + score,TRUE,TRUE,FALSE,FALSE,XGBoost
negative_control_text_length,score_xgb_logit,date_rw2_source,2200.968346962128,2200.8441974192424,7.7645506556135935,780,1.5799327658127228e-16,1.0000000000000002,9,389.1027656084466,1.8234308260065165e-85,Date RW2 + source,FALSE,TRUE,TRUE,FALSE,XGBoost
negative_control_text_length,score_xgb_logit,date_rw2,2203.647783808901,2203.8992420841732,6.797851209519493,780,1.5799327658127228e-16,1.0000000000000002,10,391.78220245521925,4.775919235309425e-86,Date RW2,FALSE,TRUE,FALSE,FALSE,XGBoost
negative_control_text_length,score_xgb_logit,date_linear,2211.791103653615,2212.2208567084376,2.554167819183331,780,1.5799327658127228e-16,1.0000000000000002,11,399.9255222999336,8.142495691642509e-88,Date linear,FALSE,TRUE,FALSE,FALSE,XGBoost
negative_control_text_length,score_xgb_logit,source_only,2213.1788823548254,2213.5272413652815,2.6359654282560894,780,1.5799327658127228e-16,1.0000000000000002,12,401.3133010011438,4.0682274086013233e-88,Source only,FALSE,FALSE,TRUE,FALSE,XGBoost
negative_control_text_length,score_xgb_logit,intercept_only,2216.1746821710713,2216.5313278332314,1.6323651007105768,780,1.5799327658127228e-16,1.0000000000000002,13,404.30910081738966,9.096525826452626e-89,Intercept only,FALSE,FALSE,FALSE,FALSE,XGBoost
negative_control_text_length,score_lgb_logit,date_rw2_source_score_creator,1768.1286648850073,1735.7644815913452,185.91788079407107,780,1.5799327658127228e-16,1.0000000000000002,1,0,0.5527501415956626,Date RW2 + source + creator + score,TRUE,TRUE,TRUE,TRUE,LightGBM
negative_control_text_length,score_lgb_logit,date_rw2_score_creator,1768.55224222522,1736.35019190762,185.6404929039212,780,1.5799327658127228e-16,1.0000000000000002,2,0.4235773402126597,0.44724985840433745,Date RW2 + creator + score,TRUE,TRUE,FALSE,TRUE,LightGBM
negative_control_text_length,score_lgb_logit,date_rw2_creator,1853.8935357820226,1818.913596848441,183.94817882802226,780,1.5799327658127228e-16,1.0000000000000002,3,85.76487089701527,1.3149940163306113e-19,Date RW2 + creator,FALSE,TRUE,FALSE,TRUE,LightGBM
negative_control_text_length,score_lgb_logit,date_rw2_source_creator,1854.960709387429,1819.7965254977717,184.23371087144446,780,1.5799327658127228e-16,1.0000000000000002,4,86.8320445024217,7.712407576728555e-20,Date RW2 + source + creator,FALSE,TRUE,TRUE,TRUE,LightGBM
negative_control_text_length,score_lgb_logit,date_rw2_source_score,2131.26362036718,2131.693229987278,9.227455104628495,780,1.5799327658127228e-16,1.0000000000000002,5,363.1349554821727,7.740609996074185e-80,Date RW2 + source + score,TRUE,TRUE,TRUE,FALSE,LightGBM
negative_control_text_length,score_lgb_logit,date_rw2_score,2135.835062274685,2136.3595494372566,8.353131890869395,780,1.5799327658127228e-16,1.0000000000000002,6,367.7063973896775,7.872255646171988e-81,Date RW2 + score,TRUE,TRUE,FALSE,FALSE,LightGBM
negative_control_text_length,score_lgb_logit,date_linear_score,2157.2233135978104,2157.981292412248,3.2201865871500726,780,1.5799327658127228e-16,1.0000000000000002,7,389.09464871280306,1.7852515773877636e-85,Date linear + score,TRUE,TRUE,FALSE,FALSE,LightGBM
negative_control_text_length,score_lgb_logit,score_only,2159.528055557368,2160.280660630494,2.233479618222201,780,1.5799327658127228e-16,1.0000000000000002,8,391.3993906723608,5.6393762094323625e-86,Score only,TRUE,FALSE,FALSE,FALSE,LightGBM
negative_control_text_length,score_lgb_logit,date_rw2_source,2200.968346962128,2200.8441974192424,7.7645506556135935,780,1.5799327658127228e-16,1.0000000000000002,9,432.83968207712087,5.6569993009877604e-95,Date RW2 + source,FALSE,TRUE,TRUE,FALSE,LightGBM
negative_control_text_length,score_lgb_logit,date_rw2,2203.647783808901,2203.8992420841732,6.797851209519493,780,1.5799327658127228e-16,1.0000000000000002,10,435.51911892389353,1.4816779112421817e-95,Date RW2,FALSE,TRUE,FALSE,FALSE,LightGBM
negative_control_text_length,score_lgb_logit,date_linear,2211.791103653615,2212.2208567084376,2.554167819183331,780,1.5799327658127228e-16,1.0000000000000002,11,443.6624387686079,2.5261222843752076e-97,Date linear,FALSE,TRUE,FALSE,FALSE,LightGBM
negative_control_text_length,score_lgb_logit,source_only,2213.1788823548254,2213.5272413652815,2.6359654282560894,780,1.5799327658127228e-16,1.0000000000000002,12,445.0502174698181,1.2621240838140075e-97,Source only,FALSE,FALSE,TRUE,FALSE,LightGBM
negative_control_text_length,score_lgb_logit,intercept_only,2216.1746821710713,2216.5313278332314,1.6323651007105768,780,1.5799327658127228e-16,1.0000000000000002,13,448.04601728606394,2.8220999397251458e-98,Intercept only,FALSE,FALSE,FALSE,FALSE,LightGBM
negative_control_text_length,score_bert_logit,date_rw2_score_creator,1843.0817365951912,1808.0238294938767,184.2758791961871,780,1.5799327658127228e-16,1.0000000000000002,1,0,0.734824195920227,Date RW2 + creator + score,TRUE,TRUE,FALSE,TRUE,Latin BERT
negative_control_text_length,score_bert_logit,date_rw2_source_score_creator,1845.1600870166535,1810.0836313719476,184.6679976022407,780,1.5799327658127228e-16,1.0000000000000002,2,2.0783504214623463,0.2599413609178041,Date RW2 + source + creator + score,TRUE,TRUE,TRUE,TRUE,Latin BERT
negative_control_text_length,score_bert_logit,date_rw2_creator,1853.8935357820226,1818.913596848441,183.94817882802226,780,1.5799327658127228e-16,1.0000000000000002,3,10.811799186831422,0.0032993704843692433,Date RW2 + creator,FALSE,TRUE,FALSE,TRUE,Latin BERT
negative_control_text_length,score_bert_logit,date_rw2_source_creator,1854.960709387429,1819.7965254977717,184.23371087144446,780,1.5799327658127228e-16,1.0000000000000002,4,11.878972792237846,0.0019350726775996484,Date RW2 + source + creator,FALSE,TRUE,TRUE,TRUE,Latin BERT
negative_control_text_length,score_bert_logit,date_rw2_source_score,2184.488808822741,2184.8543026624343,8.46074181940951,780,1.5799327658127228e-16,1.0000000000000002,5,341.40707222754963,5.377490756166513e-75,Date RW2 + source + score,TRUE,TRUE,TRUE,FALSE,Latin BERT
negative_control_text_length,score_bert_logit,date_rw2_score,2184.8484681878613,2185.2991020867357,7.583385482630667,780,1.5799327658127228e-16,1.0000000000000002,6,341.7667315926701,4.492422913579856e-75,Date RW2 + score,TRUE,TRUE,FALSE,FALSE,Latin BERT
negative_control_text_length,score_bert_logit,score_only,2194.749764417202,2195.4491151007883,2.2846401832957235,780,1.5799327658127228e-16,1.0000000000000002,7,351.668027822011,3.1801051170829425e-77,Score only,TRUE,FALSE,FALSE,FALSE,Latin BERT
negative_control_text_length,score_bert_logit,date_linear_score,2196.8525920047455,2197.4485432073216,3.377162157641662,780,1.5799327658127228e-16,1.0000000000000002,8,353.7708554095543,1.111266613661285e-77,Date linear + score,TRUE,TRUE,FALSE,FALSE,Latin BERT
negative_control_text_length,score_bert_logit,date_rw2_source,2200.968346962128,2200.8441974192424,7.7645506556135935,780,1.5799327658127228e-16,1.0000000000000002,9,357.886610366937,1.4193628481944276e-78,Date RW2 + source,FALSE,TRUE,TRUE,FALSE,Latin BERT
negative_control_text_length,score_bert_logit,date_rw2,2203.647783808901,2203.8992420841732,6.797851209519493,780,1.5799327658127228e-16,1.0000000000000002,10,360.5660472137097,3.717586777569983e-79,Date RW2,FALSE,TRUE,FALSE,FALSE,Latin BERT
negative_control_text_length,score_bert_logit,date_linear,2211.791103653615,2212.2208567084376,2.554167819183331,780,1.5799327658127228e-16,1.0000000000000002,11,368.70936705842405,6.338137817715749e-81,Date linear,FALSE,TRUE,FALSE,FALSE,Latin BERT
negative_control_text_length,score_bert_logit,source_only,2213.1788823548254,2213.5272413652815,2.6359654282560894,780,1.5799327658127228e-16,1.0000000000000002,12,370.09714575963426,3.1667177934143213e-81,Source only,FALSE,FALSE,TRUE,FALSE,Latin BERT
negative_control_text_length,score_bert_logit,intercept_only,2216.1746821710713,2216.5313278332314,1.6323651007105768,780,1.5799327658127228e-16,1.0000000000000002,13,373.0929455758801,7.080757120896577e-82,Intercept only,FALSE,FALSE,FALSE,FALSE,Latin BERT
