from,to,weight
christus,episcopus,1.614978092809716
auctoritas,existimo,1.3698556347767308
auctoritas,episcopus,1.3321153067938838
auctoritas,ciuitas,1.2910747569236165
existimo,imperator,1.284736405939139
auctoritas,imperator,1.282844257787101
auctoritas,memoria,1.2761701506994076
imperator,memoria,1.257867513926172
caro,episcopus,1.2549753587783086
ciuitas,imperator,1.2444083605521674
existimo,graeci,1.23198584055361
exercitus,imperator,1.2259435260976475
ciuitas,existimo,1.2151787222372288
auctoritas,prouincia,1.211250604600092
imperator,oratio,1.2021328774039288
ciuitas,memoria,1.1972428921097371
auctoritas,graeci,1.181455031906394
existimo,oratio,1.1796600215518702
imperator,prouincia,1.1764731306233513
ciuitas,episcopus,1.1629929690666585
existimo,memoria,1.15950256412689
auctoritas,iudico,1.1467120834625208
auctoritas,oratio,1.1467120834625208
graeci,memoria,1.145417824245151
existimo,reliquus,1.142618749871521
memoria,oratio,1.136618270293302
oratio,orator,1.1331400059169774
graeci,orator,1.1266253248957838
episcopus,oratio,1.1235705549008266
existimo,iudico,1.1215442117555943
existimo,intellego,1.1199008260118644
episcopus,intellego,1.1199008260118644
memoria,prouincia,1.1186805696066349
imperator,iudico,1.110709869589884
graeci,oratio,1.1094858150190874
auctoritas,reliquus,1.1067067488488216
auctoritas,constituo,1.1049724772897558
auctoritas,intellego,1.097921919293089
imperator,senatus,1.0954944063006107
istic,orator,1.0954944063006105
appello,existimo,1.0904536246855632
imperator,intellego,1.0861339635410467
aequor,tellus,1.0847708057613392
appello,auctoritas,1.0799034137904107
appello,imperator,1.0796192825198532
prouincia,senatus,1.0785398931869985
iudico,orator,1.0774842219615637
exercitus,prouincia,1.0673384959210088
constituo,existimo,1.0624128628709602
imperator,periculum,1.0606673571039862
episcopus,spiritus,1.055362304874293
exercitus,memoria,1.0550684033291944
orator,senatus,1.0510426437297766
existimo,oportet,1.0504482900718641
ciuitas,iudico,1.0500852477734495
appello,prouincia,1.0496316301653081
graeci,prouincia,1.0480630023926816
constituo,episcopus,1.0458835609197494
intellego,oratio,1.0435278472272902
episcopus,reliquus,1.0435278472272902
graeci,reliquus,1.04352784722729
appello,memoria,1.0430922122824788
existimo,orator,1.0396139479061541
imperator,oportet,1.039613947906154
episcopus,imperator,1.039613947906154
appello,oratio,1.03841274656052
ciuitas,intellego,1.0370131662060964
existimo,prouincia,1.0351595975567736
orator,prouincia,1.0351595975567736
ciuitas,oratio,1.0320991514036675
caro,christus,1.0318318074640989
ciuitas,graeci,1.0313151450914588
appello,graeci,1.0290449965569197
imperator,reliquus,1.027779490259151
episcopus,existimo,1.0271914279075969
existimo,facile,1.025371591190611
auctoritas,iniuria,1.0250151484850012
oratio,prouincia,1.0233251399097705
auctoritas,exercitus,1.0228867333501748
ciuitas,exercitus,1.0208184802861158
intellego,memoria,1.0206193564304202
imperator,iniuria,1.0185605387083214
ciuitas,reliquus,1.0147074086917982
intellego,iudico,1.014540310354038
exercitus,senatus,1.0142286706070605
facile,oratio,1.0111924665843537
auctoritas,paulus,1.0109105423034592
ciuitas,prouincia,1.0088422892394002
ciuitas,orator,1.0088422892394002
graeci,imperator,1.0088422892394002
episcopus,graeci,1.0088422892394002
iudico,memoria,1.0085855168666966
aequor,numen,1.0082597083898324
intellego,oportet,1.0071602030564153
agmen,castra,1.0070462656648886
auctoritas,periculum,1.0060632230691342
iudico,oratio,1.0059899279082252
auctoritas,orator,1.0052125211888217
existimo,paulus,1.0040690104867425
facile,imperator,1.0025726762258047
appello,iudico,1.0012950836040175
appello,facile,1.0006455220352217
auctoritas,facile,1.0001086092706455
periculum,reliquus,1.0000427352875514
graeci,littera,0.9992728382232494
consul,prouincia,0.9977331920376568
imperator,orator,0.9970543334873581
aequor,litus,0.9956718260496548
animal,graeci,0.9942434898182475
episcopus,memoria,0.9924484794637238
consul,senatus,0.9912834481897707
appello,reliquus,0.9911598617099743
appello,orator,0.9908237837367221
exercitus,periculum,0.9899518323055887
episcopus,paulus,0.9863694333873416
existimo,iniuria,0.9824555340662053
aequor,unda,0.9823734240739597
exercitus,oratio,0.9813960661202841
aequor,agmen,0.9813960661202841
constituo,imperator,0.9813450397821782
memoria,orator,0.9810197836401011
contineo,existimo,0.9809198286197771
exercitus,existimo,0.9803271189313789
iniuria,iudico,0.97811174814836
intellego,orator,0.9774007634045815
graeci,iudico,0.9767539746878998
appello,iniuria,0.9764350462846225
auctoritas,senatus,0.975819222492189
orator,periculum,0.9736559801143565
iudico,prouincia,0.9715229252703472
prouincia,publicus,0.9708652468513762
iudico,periculum,0.9688598078508636
oportet,oratio,0.967154868442716
oratio,sententia,0.9655663057575784
auctoritas,sententia,0.9643905266685664
auctoritas,oportet,0.9643905266685664
existimo,periculum,0.9635036086503385
exercitus,reliquus,0.9619779802631824
graeci,intellego,0.9600521250699682
graeci,paulus,0.9600521250699682
appello,ciuitas,0.9564743037220844
facile,intellego,0.9560441036724294
facile,iudico,0.9547750679691245
memoria,oportet,0.9542967134993473
animal,uoluptas,0.9540277396330197
imperator,nauis,0.9536715181054294
fatum,mars,0.9525473994159004
memoria,senatus,0.95084247863126
littera,orator,0.9500017892164669
imperator,littera,0.9500017892164668
imperator,paulus,0.9500017892164668
appello,exercitus,0.9482791359050208
inimicus,orator,0.946523524840142
constituo,reliquus,0.9444369445830593
acies,exercitus,0.9442784031637816
istic,nauis,0.9438980062784489
animal,periculum,0.9428843214476027
eques,prouincia,0.9423778641058074
iniuria,prouincia,0.9416335395459503
imperator,publicus,0.9408791072204649
agmen,murus,0.9399990735444074
oratio,reliquus,0.9381673315694639
auctoritas,contineo,0.9379572696004106
acies,castra,0.9376072643467591
castra,murus,0.9374347166800382
constituo,prouincia,0.9360686949125427
auctoritas,littera,0.9354029897953141
memoria,reliquus,0.9340940061818279
exercitus,iniuria,0.9338071032964862
ciuitas,facile,0.9333347367312551
aequor,saeuus,0.9325493392652405
ciuitas,oportet,0.9324693104548263
episcopus,iudico,0.932302212117066
iudico,oportet,0.9323022121170658
eques,exercitus,0.9319971480512467
facile,orator,0.9308807477696883
appello,oportet,0.9301991619202872
episcopus,filius,0.9292110195473929
animal,reliquus,0.928458517442503
iniuria,oratio,0.9276960317021684
facile,memoria,0.9275793251606343
animal,exercitus,0.9275765535458499
numen,tellus,0.9273394227749369
iniuria,periculum,0.9271359644794637
exercitus,iudico,0.9262598976611032
acies,agmen,0.9262598976611032
graeci,senatus,0.9249608052586982
constituo,iudico,0.9228234681625221
iniuria,orator,0.9218309122497704
mars,numen,0.9217023196951022
ciuitas,paulus,0.9192301305497131
eques,imperator,0.9186613374884915
castra,exercitus,0.9184928683234436
caesar,consul,0.9164790971778233
auctoritas,iudicium,0.9163813074822059
eques,mars,0.916060555788434
extremus,periculum,0.9154853472594883
appello,intellego,0.9153962600389913
copia,imperator,0.9150512252643915
ciuitas,periculum,0.9140638829121108
litus,tellus,0.913433727812683
ciuis,orator,0.9130972322810158
episcopus,littera,0.9122614612336198
tellus,unda,0.9108881176132495
agmen,litus,0.9108486337405782
graeci,iudicium,0.9104022164261477
acies,animal,0.9103233053982905
orator,reliquus,0.9099964546027675
ciuitas,constituo,0.9097513865951694
iniuria,memoria,0.9095608196579561
littera,memoria,0.908502058309714
facile,reliquus,0.9073956729027101
animal,existimo,0.9072321128286177
iniuria,oportet,0.9070158264646297
agmen,proelium,0.9064081291083717
animal,constituo,0.9061216185445907
existimo,iudicium,0.9060825552816314
appello,constituo,0.9059175160844476
orator,potestas,0.9057015303198869
appello,contineo,0.905550026645633
existimo,inimicus,0.9050237939333894
existimo,sententia,0.9050237939333894
exercitus,inimicus,0.9048195664232339
orator,reperio,0.9039732948497642
auctoritas,publicus,0.9026969576632263
animal,motus,0.9026969576632263
iudico,reliquus,0.9024492489673847
memoria,sententia,0.902125841170438
luna,semen,0.9020623269273476
ciuis,imperator,0.8998520055309952
ciuitas,senatus,0.8996429972744082
paulus,periculum,0.8990816987892098
orator,sermo,0.8983004148395765
exercitus,orator,0.8974394591256113
facile,oportet,0.8969243730354148
graeci,nauis,0.8969243730354147
eques,roma,0.8968717751375657
imperator,inimicus,0.8965131042654806
constituo,oratio,0.8964277253966989
exercitus,intellego,0.8963806977773692
castra,mars,0.8963643058127098
orator,publicus,0.8958554258465098
inimicus,oratio,0.8956077171506681
oratio,senatus,0.8951078421090171
inimicus,iudico,0.8940809992968681
luna,mars,0.893912322565423
acies,murus,0.8935161870819094
imperator,potestas,0.8934314377280725
ciuitas,iniuria,0.8930104737142787
animal,contingo,0.8929315626864214
